cluster_id	representative	plddt_mean	length	n_members	mmseqs_rep	selected_by	members
CLS000033	A0A447CCJ8	76.78	734	2	A0A447CCJ8	plddt_then_length	A0A447CCJ8;A0A516F183
CLS000034	A0A509AKI1	44.80	836	1	A0A509AKI1	plddt_then_length	A0A509AKI1
CLS000035	A0A516F180	76.04	745	2	A0A516F180	plddt_then_length	A0A516F180;B2AFA8
CLS000036	A0A6C7EEG6	94.11	523	1	A0A6C7EEG6	plddt_then_length	A0A6C7EEG6
CLS000037	Q2M2Z5	53.80	673	3	A0JNH1	plddt_then_length	A0JNH1;Q2M2Z5;Q3UXL4
CLS000038	A4FU69	67.38	1503	2	A0JP43	plddt_then_length	A0JP43;A4FU69
CLS000039	A0MZ66	71.61	631	3	A0MZ67	plddt_then_length	A0MZ66;A0MZ67;Q8K2Q9
CLS000040	A0PGB2	39.04	622	1	A0PGB2	plddt_then_length	A0PGB2
CLS000041	A0QWZ7	89.92	559	2	A0QWZ7	plddt_then_length	A0QWZ7;O53150
CLS000042	A1A5D9	79.66	508	1	A1A5D9	plddt_then_length	A1A5D9
CLS000043	A1C7B5	66.11	639	1	A1C7B5	plddt_then_length	A1C7B5
CLS000044	Q5B430	67.39	649	8	A1CAI0	plddt_then_length	A1CAI0;A1DEV5;B0Y429;B8NTP7;Q0CI96;Q2U492;Q4WUK5;Q5B430
CLS000045	A1CLY6	63.17	534	1	A1CLY6	plddt_then_length	A1CLY6
CLS000046	Q0CT23	61.17	1013	8	A1CW63	plddt_then_length	A1CIK0;A1CW63;A2Q9L8;B0Y4N5;Q0CT23;Q2UUI0;Q4WQG9;Q876Q0
CLS000047	A1DIN7	70.81	692	1	A1DIN7	plddt_then_length	A1DIN7
CLS000048	A1EGX6	45.35	1074	1	A1EGX6	plddt_then_length	A1EGX6
CLS000049	A1L2H3	53.61	736	1	A1L2H3	plddt_then_length	A1L2H3
CLS000050	A1Z7Z9	61.73	1134	1	A1Z7Z9	plddt_then_length	A1Z7Z9
CLS000051	A1ZBW7	48.09	1469	1	A1ZBW7	plddt_then_length	A1ZBW7
CLS000052	A2AEY4	53.69	876	1	A2AEY4	plddt_then_length	A2AEY4
CLS000053	A2AJA9	53.72	974	2	A2AJA9	plddt_then_length	A2AJA9;C9J069
CLS000054	A2AKY4	45.76	1200	2	A2AKY4	plddt_then_length	A2AKY4;Q7Z570
CLS000055	Q2UIE6	65.93	667	4	A2QBQ3	plddt_then_length	A2QBQ3;B8N7S7;Q2UIE6;Q5BAP5
CLS000056	A2QN74	65.38	684	1	A2QN74	plddt_then_length	A2QN74
CLS000057	A2RTY3	71.58	570	2	A2RTY3	plddt_then_length	A2RTY3;Q4R744
CLS000058	Q3TVI8	58.01	727	2	A2VD12	plddt_then_length	A2VD12;Q3TVI8
CLS000059	A2VD23	49.44	613	1	A2VD23	plddt_then_length	A2VD23
CLS000060	A2VE23	40.59	510	1	A2VE23	plddt_then_length	A2VE23
CLS000061	A3CEM4	38.76	527	1	A3CEM4	plddt_then_length	A3CEM4
CLS000062	A3GEW8	76.74	676	1	A3GEW8	plddt_then_length	A3GEW8
CLS000063	A3LNK7	69.75	620	1	A3LNK7	plddt_then_length	A3LNK7
CLS000064	A4D1E1	42.76	1349	1	A4D1E1	plddt_then_length	A4D1E1
CLS000065	Q6ZN18	61.15	517	2	A4FV57	plddt_then_length	A4FV57;Q6ZN18
CLS000066	A4IFI1	74.46	688	3	A4IFI1	plddt_then_length	A4IFI1;Q569K6;Q5SPX1
CLS000067	A4RGE6	60.62	819	2	A4RGE6	plddt_then_length	A4RGE6;Q0UJC3
CLS000068	A4YHQ8	75.87	1360	1	A4YHQ8	plddt_then_length	A4YHQ8
CLS000069	A5D8S0	58.84	706	1	A5D8S0	plddt_then_length	A5D8S0
CLS000070	A5D8V7	77.75	595	2	A5D8V7	plddt_then_length	A5D8V7;A7MBH5
CLS000071	Q6BML3	83.69	622	3	A5DDF2	plddt_then_length	A3LQ52;A5DDF2;Q6BML3
CLS000072	A5DDR3	77.47	599	1	A5DDR3	plddt_then_length	A5DDR3
CLS000073	A5DG41	72.25	561	2	A5DG41	plddt_then_length	A5DG41;Q6BMT2
CLS000074	A5DJ60	73.07	630	1	A5DJ60	plddt_then_length	A5DJ60
CLS000075	A3LPR4	78.27	533	4	A5DSU5	plddt_then_length	A3LPR4;A5DSU5;Q5AQ62;Q6BWJ5
CLS000076	A5DU71	71.64	659	1	A5DU71	plddt_then_length	A5DU71
CLS000077	A3GFQ7	62.25	523	5	A5DUL5	plddt_then_length	A3GFQ7;A5DUL5;B9W824;C4YE34;Q59MC8
CLS000078	A5DXC3	81.47	513	1	A5DXC3	plddt_then_length	A5DXC3
CLS000079	A5E057	80.24	623	1	A5E057	plddt_then_length	A5E057
CLS000080	A5E771	58.71	523	1	A5E771	plddt_then_length	A5E771
CLS000081	A6H5Y1	56.73	991	2	A6H5Y1	plddt_then_length	A6H5Y1;Q99550
CLS000082	A6QLY7	57.95	727	2	A6QLY7	plddt_then_length	A6QLY7;Q96AQ6
CLS000083	A6REV3	60.11	824	1	A6REV3	plddt_then_length	A6REV3
CLS000084	A6RHW0	59.98	848	2	A6RHW0	plddt_then_length	A6RHW0;A7EHE5
CLS000085	A7EDF3	52.01	923	2	A6S9V4	plddt_then_length	A6S9V4;A7EDF3
CLS000086	A7F9L8	66.15	795	2	A6SEV8	plddt_then_length	A6SEV8;A7F9L8
CLS000087	A6X3G3	94.82	609	1	A6X3G3	plddt_then_length	A6X3G3
CLS000088	C5DZX2	80.38	561	8	A6ZSM1	plddt_then_length	A6ZSM1;B3LS90;B5VJQ0;C5DZX2;C7GIQ7;C8ZA35;P38738;Q6FV93
CLS000089	B3LHS1	69.53	577	5	A6ZTW2	plddt_then_length	A6ZTW2;B3LHS1;C7GNX5;C8Z826;P53075
CLS000090	A6ZVD0	57.32	529	6	A6ZVD0	plddt_then_length	A6ZVD0;B3LTZ3;B5VKG3;C7GUR3;C8ZAW6;P40458
CLS000091	B5VT12	57.39	758	6	A6ZW95	plddt_then_length	A6ZW95;B3LKR9;B5VT12;C7GJB0;C8ZIM0;Q99299
CLS000092	A6ZXT5	44.13	622	2	A6ZXT5	plddt_then_length	A6ZXT5;Q12459
CLS000093	P50273	76.12	684	4	A6ZYV0	plddt_then_length	A6ZYV0;B5VGN1;C8Z5R1;P50273
CLS000094	B5VGZ3	58.76	519	4	A6ZZ54	plddt_then_length	A6ZZ54;B3LFK1;B5VGZ3;Q00947
CLS000095	B3LR89	48.53	525	4	A6ZZX0	plddt_then_length	A6ZZX0;B3LR89;B5VMF4;Q02203
CLS000096	P18634	77.53	518	6	A7A1R7	plddt_then_length	A7A1R7;B3RHQ7;B5VNS9;C7GXJ6;C8ZE01;P18634
CLS000097	A7F9K1	79.61	517	1	A7F9K1	plddt_then_length	A7F9K1
CLS000098	A7MBM2	67.56	1401	3	A7MBM2	plddt_then_length	A7MBM2;Q6R5J1;Q6R5J2
CLS000099	A7THU3	79.87	710	1	A7THU3	plddt_then_length	A7THU3
CLS000100	A7TKN1	51.77	716	1	A7TKN1	plddt_then_length	A7TKN1
CLS000101	A7TM88	53.29	1378	1	A7TM88	plddt_then_length	A7TM88
CLS000102	A7TPF8	50.39	718	1	A7TPF8	plddt_then_length	A7TPF8
CLS000103	A7TQC5	79.67	551	1	A7TQC5	plddt_then_length	A7TQC5
CLS000104	A7TQS2	72.98	592	1	A7TQS2	plddt_then_length	A7TQS2
CLS000105	A7TR87	52.68	859	1	A7TR87	plddt_then_length	A7TR87
CLS000106	C5DBS6	90.02	619	9	A7TRX9	plddt_then_length	A6ZR36;A7TRX9;B3LRJ8;C5DBS6;C7GRR3;C8Z792;P40053;Q6CU52;Q6FPJ5
CLS000107	A7TRZ7	78.12	659	1	A7TRZ7	plddt_then_length	A7TRZ7
CLS000108	A8IQT2	73.48	576	1	A8IQT2	plddt_then_length	A8IQT2
CLS000109	A8IRK7	87.09	815	1	A8IRK7	plddt_then_length	A8IRK7
CLS000110	A8ITB0	60.07	882	1	A8ITB0	plddt_then_length	A8ITB0
CLS000111	A8ITV9	81.41	1104	1	A8ITV9	plddt_then_length	A8ITV9
CLS000112	A8IUG5	76.46	795	1	A8IUG5	plddt_then_length	A8IUG5
CLS000113	A8JID5	56.88	1206	1	A8JID5	plddt_then_length	A8JID5
CLS000114	Q3UZY0	68.02	1216	4	A8K8P3	plddt_then_length	A8K8P3;A9CB34;B0KWR6;Q3UZY0
CLS000115	A8MQN2	48.12	616	1	A8MQN2	plddt_then_length	A8MQN2
CLS000116	A8MQR0	78.07	627	1	A8MQR0	plddt_then_length	A8MQR0
CLS000117	A8NYS9	53.74	823	1	A8NYS9	plddt_then_length	A8NYS9
CLS000118	A8WL28	50.50	957	1	A8WL28	plddt_then_length	A8WL28
CLS000119	A8X633	55.36	1171	2	A8X633	plddt_then_length	A8X633;Q21227
CLS000120	A8XBZ8	75.84	808	2	A8XBZ8	plddt_then_length	A8XBZ8;Q18825
CLS000121	A9XMT3	55.07	518	3	A9XMT4	plddt_then_length	A7TUE1;A9XMT3;A9XMT4
CLS000122	A9ZLL8	65.56	756	1	A9ZLL8	plddt_then_length	A9ZLL8
CLS000123	A9ZSY0	75.39	721	1	A9ZSY0	plddt_then_length	A9ZSY0
CLS000124	B0D0P0	60.44	1026	2	B0D0P0	plddt_then_length	A8N5E6;B0D0P0
CLS000125	Q9HHM7	87.22	629	3	B0R9X9	plddt_then_length	B0R9X9;O07116;Q9HHM7
CLS000126	B0WH58	76.61	658	2	B0WH58	plddt_then_length	B0WH58;Q16YE7
CLS000127	B1B0V2	47.88	589	1	B1B0V2	plddt_then_length	B1B0V2
CLS000128	B1GT61	49.82	1016	1	B1GT61	plddt_then_length	B1GT61
CLS000129	B1H1S4	58.36	556	2	B1H1S4	plddt_then_length	B0BM16;B1H1S4
CLS000130	B2AA87	61.22	550	1	B2AA87	plddt_then_length	B2AA87
CLS000131	B2DBF0	87.30	1004	1	B2DBF0	plddt_then_length	B2DBF0
CLS000132	B2DBF1	88.48	983	1	B2DBF1	plddt_then_length	B2DBF1
CLS000133	Q7TQM5	46.78	699	2	B2RUR4	plddt_then_length	B2RUR4;Q7TQM5
CLS000134	B3A0P1	46.68	977	1	B3A0P1	plddt_then_length	B3A0P1
CLS000135	B3A0R6	72.26	513	1	B3A0R6	plddt_then_length	B3A0R6
CLS000136	A5GFT6	54.56	1035	8	B3DJM5	plddt_then_length	A5GFT6;B3DJM5;Q2HNT1;Q2HNT2;Q5DTH5;Q68FE9;Q6ZSZ6;Q9NRE2
CLS000137	B3FWS0	56.95	534	1	B3FWS0	plddt_then_length	B3FWS0
CLS000138	B3H4K7	69.05	589	1	B3H4K7	plddt_then_length	B3H4K7
CLS000139	B3KS81	41.48	715	1	B3KS81	plddt_then_length	B3KS81
CLS000140	B4IH30	61.12	938	3	B4IH30	plddt_then_length	B4IH30;B4QC10;Q9W157
CLS000141	B4Q0P5	70.47	555	10	B4Q0P5	plddt_then_length	B3NY01;B3NY06;B3NY08;B4IL68;B4NU50;B4Q0P1;B4Q0P5;B4R694;Q9W3L5;Q9W3M2
CLS000142	B4QIJ9	65.89	658	5	B4QIJ9	plddt_then_length	B3NP26;B4HMH2;B4P8I0;B4QIJ9;Q7K4M4
CLS000143	B6JUP5	49.20	1031	1	B6JUP5	plddt_then_length	B6JUP5
CLS000144	B6KJ32	51.60	984	1	B6KJ32	plddt_then_length	B6KJ32
CLS000145	B6KLP1	60.76	1167	1	B6KLP1	plddt_then_length	B6KLP1
CLS000146	B6KV60	62.84	1479	1	B6KV60	plddt_then_length	B6KV60
CLS000147	B6Q2V1	72.62	660	2	B6Q2V1	plddt_then_length	B6Q2V1;B8MPW2
CLS000148	B7FAS0	53.21	901	1	B7FAS0	plddt_then_length	B7FAS0
CLS000149	D5CVJ7	91.57	547	5	B7UJD8	plddt_then_length	B7UJD8;D5CVJ7;P77694;Q8FKL3;Q8X4N4
CLS000150	B7W112	58.45	522	1	B7W112	plddt_then_length	B7W112
CLS000151	Q12815	46.19	778	2	B7ZNG4	plddt_then_length	B7ZNG4;Q12815
CLS000152	Q2US39	68.69	602	2	B8MXP5	plddt_then_length	B8MXP5;Q2US39
CLS000153	B8NI28	59.81	551	1	B8NI28	plddt_then_length	B8NI28
CLS000154	B9F1C0	46.58	1709	1	B9F1C0	plddt_then_length	B9F1C0
CLS000155	B9W923	51.31	847	2	B9W923	plddt_then_length	B9W923;Q5AP87
CLS000156	C0HK92	64.91	619	1	C0HK92	plddt_then_length	C0HK92
CLS000157	C0NWC4	72.79	731	2	C0NWC4	plddt_then_length	C0NWC4;C6HBY6
CLS000158	Q53KW9	61.02	803	2	C0RWW9	plddt_then_length	C0RWW9;Q53KW9
CLS000159	C1H741	73.55	728	3	C1H741	plddt_then_length	C0S4K1;C1FZ15;C1H741
CLS000160	C4LY96	92.22	1151	3	C4LY96	plddt_then_length	C4LWQ8;C4LY96;C4M1E4
CLS000161	C4P6S0	39.20	806	1	C4P6S0	plddt_then_length	C4P6S0
CLS000162	C4R159	67.25	612	2	C4R159	plddt_then_length	C4R159;Q5IF00
CLS000163	C4R492	60.74	674	1	C4R492	plddt_then_length	C4R492
CLS000164	C4R5P7	76.97	725	1	C4R5P7	plddt_then_length	C4R5P7
CLS000165	C4XXL5	79.05	619	1	C4XXL5	plddt_then_length	C4XXL5
CLS000166	C4Y6F4	59.66	543	1	C4Y6F4	plddt_then_length	C4Y6F4
CLS000167	Q5ADV5	75.67	629	3	C4YPB0	plddt_then_length	B9WEX6;C4YPB0;Q5ADV5
CLS000168	C5DF10	57.84	601	1	C5DF10	plddt_then_length	C5DF10
CLS000169	C5DGU9	54.17	733	1	C5DGU9	plddt_then_length	C5DGU9
CLS000170	C5DLJ3	78.21	673	1	C5DLJ3	plddt_then_length	C5DLJ3
CLS000171	C5DTI7	89.33	621	1	C5DTI7	plddt_then_length	C5DTI7
CLS000172	C5DXS6	56.13	722	1	C5DXS6	plddt_then_length	C5DXS6
CLS000173	Q6CLQ8	84.84	550	4	C5DY82	plddt_then_length	C5DY82;Q6CLQ8;Q75B55;Q8TFK7
CLS000174	C5E4K0	52.49	757	1	C5E4K0	plddt_then_length	C5E4K0
CLS000175	Q6FQE0	57.59	538	3	C5E4T8	plddt_then_length	A7TES0;C5E4T8;Q6FQE0
CLS000176	C5E4V5	67.60	689	1	C5E4V5	plddt_then_length	C5E4V5
CLS000177	C5JJY8	72.07	724	2	C5JJY8	plddt_then_length	C5GAC6;C5JJY8
CLS000178	Q5BBM5	64.23	561	27	C5JVU4	plddt_then_length	A1CHU1;A1CWW9;A2QJH4;A4QT54;A6S9E2;A7EWF5;B0Y6I4;B2VS19;B6HQ08;B6HR25;B6QIB3;B8MKT9;B8N0Q7;C0NY51;C0S713;C1G520;C4JQ45;C5FRB0;C5GNU1;C5JVU4;Q0CZY7;Q1E4T3;Q2H9Y1;Q2UJF5;Q4WPP2;Q5BBM5;Q7RZK9
CLS000179	C5MBA7	53.92	824	1	C5MBA7	plddt_then_length	C5MBA7
CLS000180	C5MHQ6	77.64	588	1	C5MHQ6	plddt_then_length	C5MHQ6
CLS000181	A5E0B1	71.13	694	2	C5MHS7	plddt_then_length	A5E0B1;C5MHS7
CLS000182	P35732	51.81	738	3	C7GP20	plddt_then_length	A6ZZR2;C7GP20;P35732
CLS000183	P40068	44.86	799	6	C7GS77	plddt_then_length	A6ZR64;B3LRM5;B5VHN4;C7GS77;C8Z7C7;P40068
CLS000184	C7IVR4	45.66	2049	1	C7IVR4	plddt_then_length	C7IVR4
CLS000185	C7NBY4	87.95	1159	1	C7NBY4	plddt_then_length	C7NBY4
CLS000186	C7YY76	75.49	627	1	C7YY76	plddt_then_length	C7YY76
CLS000187	C8KI33	69.36	646	1	C8KI33	plddt_then_length	C8KI33
CLS000188	C8V8H5	62.11	780	1	C8V8H5	plddt_then_length	C8V8H5
CLS000189	B2RU40	53.12	902	3	C9JH25	plddt_then_length	B2RU40;C9JH25;D4A9R4
CLS000190	C9K7F3	63.63	623	1	C9K7F3	plddt_then_length	C9K7F3
CLS000191	D0NRP3	82.66	709	1	D0NRP3	plddt_then_length	D0NRP3
CLS000192	D0NRQ7	80.86	516	1	D0NRQ7	plddt_then_length	D0NRQ7
CLS000193	D1ZCP6	73.50	705	1	D1ZCP6	plddt_then_length	D1ZCP6
CLS000194	D2I4M3	85.30	823	1	D2I4M3	plddt_then_length	D2I4M3
CLS000195	Q8IYE1	76.20	715	2	D3YV10	plddt_then_length	D3YV10;Q8IYE1
CLS000196	D4AQ27	92.43	687	1	D4AQ27	plddt_then_length	D4AQ27
CLS000197	D4B1B1	45.32	890	1	D4B1B1	plddt_then_length	D4B1B1
CLS000198	D4D5X3	72.11	703	2	D4D5X3	plddt_then_length	D4B478;D4D5X3
CLS000199	Q749K5	90.62	744	2	D7ALQ0	plddt_then_length	D7ALQ0;Q749K5
CLS000200	D7PI12	66.38	688	1	D7PI12	plddt_then_length	D7PI12
CLS000201	E1ZXU8	52.38	588	1	E1ZXU8	plddt_then_length	E1ZXU8
CLS000202	G5EBV6	70.37	693	3	E3M3V1	plddt_then_length	E3M3V1;G5EBV6;Q9TZQ3
CLS000203	E4T0I2	86.56	1154	1	E4T0I2	plddt_then_length	E4T0I2
CLS000204	E5AV36	95.84	771	1	E5AV36	plddt_then_length	E5AV36
CLS000205	E5AW45	93.73	997	1	E5AW45	plddt_then_length	E5AW45
CLS000206	E7F5E1	64.32	1367	1	E7F5E1	plddt_then_length	E7F5E1
CLS000207	E7FAP1	56.34	630	1	E7FAP1	plddt_then_length	E7FAP1
CLS000208	E9ES99	54.56	645	1	E9ES99	plddt_then_length	E9ES99
CLS000209	E9Q1U1	71.17	1324	2	E9Q1U1	plddt_then_length	E9Q1U1;Q6TFL3
CLS000210	E9Q7F2	54.22	694	2	E9Q7F2	plddt_then_length	E9Q7F2;Q8NCN4
CLS000211	F0JAI6	65.51	548	1	F0JAI6	plddt_then_length	F0JAI6
CLS000212	F1LWT0	49.48	1266	2	F1LWT0	plddt_then_length	E9Q6E9;F1LWT0
CLS000213	F1NSM7	46.91	743	1	F1NSM7	plddt_then_length	F1NSM7
CLS000214	F4HRT5	67.93	1132	1	F4HRT5	plddt_then_length	F4HRT5
CLS000215	F4I1T7	48.43	1819	1	F4I1T7	plddt_then_length	F4I1T7
CLS000216	F4I8B9	70.62	1345	2	F4I8B9	plddt_then_length	F4I8B9;F4JJP1
CLS000217	Q9LSB4	60.51	772	2	F4ICX9	plddt_then_length	F4ICX9;Q9LSB4
CLS000218	Q0JIZ1	60.88	551	3	F4IHY7	plddt_then_length	B4FZ81;F4IHY7;Q0JIZ1
CLS000219	F4IN69	74.91	1275	1	F4IN69	plddt_then_length	F4IN69
CLS000220	F4IP69	77.74	838	1	F4IP69	plddt_then_length	F4IP69
CLS000221	F4IUJ7	61.35	527	1	F4IUJ7	plddt_then_length	F4IUJ7
CLS000222	Q94C98	58.66	787	2	F4J077	plddt_then_length	F4J077;Q94C98
CLS000223	F4J4C8	85.13	569	1	F4J4C8	plddt_then_length	F4J4C8
CLS000224	F4J8D3	73.94	1176	1	F4J8D3	plddt_then_length	F4J8D3
CLS000225	F4JCX9	45.86	663	1	F4JCX9	plddt_then_length	F4JCX9
CLS000226	F4JF21	69.02	668	1	F4JF21	plddt_then_length	F4JF21
CLS000227	F4JGZ1	64.25	1278	1	F4JGZ1	plddt_then_length	F4JGZ1
CLS000228	F4JMH9	56.97	532	1	F4JMH9	plddt_then_length	F4JMH9
CLS000229	F4JV59	69.98	1863	1	F4JV59	plddt_then_length	F4JV59
CLS000230	F4JZY1	66.79	1586	1	F4JZY1	plddt_then_length	F4JZY1
CLS000231	F4K2A1	81.19	571	2	F4K2A1	plddt_then_length	F4J2K2;F4K2A1
CLS000232	F4KFS5	78.09	1598	1	F4KFS5	plddt_then_length	F4KFS5
CLS000233	F4KFS7	55.83	550	1	F4KFS7	plddt_then_length	F4KFS7
CLS000234	F4KG50	48.72	1594	1	F4KG50	plddt_then_length	F4KG50
CLS000235	G0S2X1	71.25	751	1	G0S2X1	plddt_then_length	G0S2X1
CLS000236	G0S4F3	82.20	882	1	G0S4F3	plddt_then_length	G0S4F3
CLS000237	G1UB67	40.82	887	1	G1UB67	plddt_then_length	G1UB67
CLS000238	G2NFJ9	93.24	605	1	G2NFJ9	plddt_then_length	G2NFJ9
CLS000239	G4N4W3	52.06	804	1	G4N4W3	plddt_then_length	G4N4W3
CLS000240	Q96NL6	82.25	688	3	G5E861	plddt_then_length	G5E861;Q8CJ99;Q96NL6
CLS000241	G5ECH5	55.39	1562	1	G5ECH5	plddt_then_length	G5ECH5
CLS000242	G5ECL4	75.08	1007	1	G5ECL4	plddt_then_length	G5ECL4
CLS000243	G5ED89	62.62	724	1	G5ED89	plddt_then_length	G5ED89
CLS000244	G5EEK3	53.95	922	1	G5EEK3	plddt_then_length	G5EEK3
CLS000245	G5EFV3	53.45	949	1	G5EFV3	plddt_then_length	G5EFV3
CLS000246	G5EGE9	44.02	1263	1	G5EGE9	plddt_then_length	G5EGE9
CLS000247	G9M8X1	52.56	687	1	G9M8X1	plddt_then_length	G9M8X1
CLS000248	H0WFA5	52.33	639	1	H0WFA5	plddt_then_length	H0WFA5
CLS000249	Q8N7Z2	75.33	668	4	H0YM25	plddt_then_length	A8MZA4;H0YM25;Q8N7Z2;Q8N9W4
CLS000250	H2A0M0	60.95	686	1	H2A0M0	plddt_then_length	H2A0M0
CLS000251	H2KZ49	49.74	545	1	H2KZ49	plddt_then_length	H2KZ49
CLS000252	I0J0E7	65.08	1217	1	I0J0E7	plddt_then_length	I0J0E7
CLS000253	I1RAK8	84.43	609	1	I1RAK8	plddt_then_length	I1RAK8
CLS000254	I1S0E2	55.71	608	1	I1S0E2	plddt_then_length	I1S0E2
CLS000255	I3L273	47.74	518	1	I3L273	plddt_then_length	I3L273
CLS000256	I6V1W0	71.36	612	1	I6V1W0	plddt_then_length	I6V1W0
CLS000257	J5JPY5	53.29	639	1	J5JPY5	plddt_then_length	J5JPY5
CLS000258	K0DZ91	68.69	668	1	K0DZ91	plddt_then_length	K0DZ91
CLS000259	L7IKV1	79.23	518	1	L7IKV1	plddt_then_length	L7IKV1
CLS000260	L8FLZ2	68.50	742	1	L8FLZ2	plddt_then_length	L8FLZ2
CLS000261	L8FM21	86.31	692	2	L8FM21	plddt_then_length	A0QNH4;L8FM21
CLS000262	M9LRQ6	94.76	520	2	M9LRQ6	plddt_then_length	A0A0D1CRC9;M9LRQ6
CLS000263	M9LYJ5	92.29	552	1	M9LYJ5	plddt_then_length	M9LYJ5
CLS000264	M9MF51	92.07	550	1	M9MF51	plddt_then_length	M9MF51
CLS000265	M9NE38	40.71	1912	1	M9NE38	plddt_then_length	M9NE38
CLS000266	O00461	67.26	696	4	O00461	plddt_then_length	O00461;Q08D19;Q5BJK8;Q8BXA1
CLS000267	O00515	54.88	517	2	O00515	plddt_then_length	O00515;P57016
CLS000268	O00841	67.09	802	1	O00841	plddt_then_length	O00841
CLS000269	O00844	77.27	682	1	O00844	plddt_then_length	O00844
CLS000270	O01477	63.28	691	1	O01477	plddt_then_length	O01477
CLS000271	O02039	61.30	533	1	O02039	plddt_then_length	O02039
CLS000272	Q614K9	83.02	523	2	O02042	plddt_then_length	O02042;Q614K9
CLS000273	O05318	89.55	548	1	O05318	plddt_then_length	O05318
CLS000274	O05975	69.80	1169	1	O05975	plddt_then_length	O05975
CLS000275	O07625	81.85	646	1	O07625	plddt_then_length	O07625
CLS000276	O13284	90.55	946	1	O13284	plddt_then_length	O13284
CLS000277	O13329	70.68	566	1	O13329	plddt_then_length	O13329
CLS000278	O13492	88.74	528	1	O13492	plddt_then_length	O13492
CLS000279	O13658	52.70	738	1	O13658	plddt_then_length	O13658
CLS000280	O13695	53.00	536	1	O13695	plddt_then_length	O13695
CLS000281	O13854	49.38	670	1	O13854	plddt_then_length	O13854
CLS000282	O13858	52.32	636	1	O13858	plddt_then_length	O13858
CLS000283	O14173	49.22	601	1	O14173	plddt_then_length	O14173
CLS000284	O14217	78.61	625	1	O14217	plddt_then_length	O14217
