uniprot	cluster_id	representative
Q8CJ99	CLS000240	Q96NL6
Q96NL6	CLS000240	Q96NL6
G5ECH5	CLS000241	G5ECH5
G5ECL4	CLS000242	G5ECL4
G5ED89	CLS000243	G5ED89
G5EEK3	CLS000244	G5EEK3
G5EFV3	CLS000245	G5EFV3
G5EGE9	CLS000246	G5EGE9
G9M8X1	CLS000247	G9M8X1
H0WFA5	CLS000248	H0WFA5
A8MZA4	CLS000249	Q8N7Z2
H0YM25	CLS000249	Q8N7Z2
Q8N7Z2	CLS000249	Q8N7Z2
Q8N9W4	CLS000249	Q8N7Z2
H2A0M0	CLS000250	H2A0M0
H2KZ49	CLS000251	H2KZ49
I0J0E7	CLS000252	I0J0E7
I1RAK8	CLS000253	I1RAK8
I1S0E2	CLS000254	I1S0E2
I3L273	CLS000255	I3L273
I6V1W0	CLS000256	I6V1W0
J5JPY5	CLS000257	J5JPY5
K0DZ91	CLS000258	K0DZ91
L7IKV1	CLS000259	L7IKV1
L8FLZ2	CLS000260	L8FLZ2
A0QNH4	CLS000261	L8FM21
L8FM21	CLS000261	L8FM21
A0A0D1CRC9	CLS000262	M9LRQ6
M9LRQ6	CLS000262	M9LRQ6
M9LYJ5	CLS000263	M9LYJ5
M9MF51	CLS000264	M9MF51
M9NE38	CLS000265	M9NE38
O00461	CLS000266	O00461
Q08D19	CLS000266	O00461
Q5BJK8	CLS000266	O00461
Q8BXA1	CLS000266	O00461
O00515	CLS000267	O00515
P57016	CLS000267	O00515
O00841	CLS000268	O00841
O00844	CLS000269	O00844
O01477	CLS000270	O01477
O02039	CLS000271	O02039
O02042	CLS000272	Q614K9
Q614K9	CLS000272	Q614K9
O05318	CLS000273	O05318
O05975	CLS000274	O05975
O07625	CLS000275	O07625
O13284	CLS000276	O13284
O13329	CLS000277	O13329
O13492	CLS000278	O13492
O13658	CLS000279	O13658
O13695	CLS000280	O13695
O13854	CLS000281	O13854
O13858	CLS000282	O13858
O14173	CLS000283	O14173
O14217	CLS000284	O14217
O14269	CLS000285	O14269
O14273	CLS000286	O14273
O15014	CLS000287	O15014
Q8BZ47	CLS000287	O15014
O15231	CLS000288	O15231
O15287	CLS000289	Q9EQR6
Q9EQR6	CLS000289	Q9EQR6
O17581	CLS000290	O17581
O17582	CLS000291	O17582
O17828	CLS000292	O17828
O18191	CLS000293	O18191
O20159	CLS000294	O20159
O22799	CLS000295	O22799
O23144	CLS000296	O23144
O23277	CLS000297	O23277
O27893	CLS000298	O27893
O27944	CLS000299	O27944
O28078	CLS000300	O28078
O28161	CLS000301	O28161
O28251	CLS000302	O28251
O28422	CLS000303	O28422
O28648	CLS000304	O28648
O29350	CLS000305	O29350
O31745	CLS000306	O31745
O31945	CLS000307	O31945
O32101	CLS000308	O32101
B2RH58	CLS000309	O32389
O32389	CLS000309	O32389
B2RH59	CLS000310	B2RH59
O32390	CLS000310	B2RH59
O35181	CLS000311	P56975
P56975	CLS000311	P56975
O42637	CLS000312	O42637
O42910	CLS000313	O42910
O42948	CLS000314	O42948
O43013	CLS000315	O43013
O43952	CLS000316	O43952
O44749	CLS000317	O44749
O53113	CLS000318	O53113
O53508	CLS000319	O53508
O53582	CLS000320	O53582
O54003	CLS000321	O54003
O59740	CLS000322	O59740
O59779	CLS000323	O59779
O60099	CLS000324	O60099
O60174	CLS000325	O60174
O64584	CLS000326	O64584
O64851	CLS000327	O64851
O67301	CLS000328	O67301
O67428	CLS000329	O67428
O70394	CLS000330	O70394
O74338	CLS000331	O74338
O74434	CLS000332	O74434
O74481	CLS000333	O74481
O74500	CLS000334	O74500
O74535	CLS000335	O74535
O74738	CLS000336	O74738
O74775	CLS000337	O74775
O74779	CLS000338	O74779
O74808	CLS000339	O74808
O74949	CLS000340	O74949
O74994	CLS000341	O74994
B0DOB4	CLS000342	P59240
O75161	CLS000342	P59240
P59240	CLS000342	P59240
O76187	CLS000343	O76187
O77374	CLS000344	O77374
O80386	CLS000345	O80386
O81959	CLS000346	O81959
Q8LLW7	CLS000346	O81959
O82804	CLS000347	O82804
O83062	CLS000348	O83062
O83066	CLS000349	O83066
O83160	CLS000350	O83160
O83209	CLS000351	O83209
O83273	CLS000352	O83273
O83326	CLS000353	O83326
O83389	CLS000354	O83389
O83444	CLS000355	O83444
O83500	CLS000356	O83500
O83575	CLS000357	O83575
O83586	CLS000358	O83586
O83602	CLS000359	O83602
O83607	CLS000360	O83607
O83771	CLS000361	O83771
O83827	CLS000362	O83827
O83932	CLS000363	O83932
O83933	CLS000364	O83933
O83934	CLS000365	O83934
O83935	CLS000366	O83935
O83978	CLS000367	O83978
O84883	CLS000368	O84883
O86682	CLS000369	O86682
O86683	CLS000370	O86683
O94254	CLS000371	O94254
O94317	CLS000372	O94317
O94358	CLS000373	O94358
O94368	CLS000374	O94368
O94378	CLS000375	O94378
O94441	CLS000376	O94441
O94452	CLS000377	O94452
O94602	CLS000378	O94602
O94717	CLS000379	O94717
O94719	CLS000380	O94719
O94854	CLS000381	O94854
O96133	CLS000382	O96133
O96160	CLS000383	O96160
O96185	CLS000384	O96185
O96668	CLS000385	O96668
O97237	CLS000386	O97237
O97302	CLS000387	O97302
P04931	CLS000388	P04931
P05469	CLS000389	P05469
P06529	CLS000390	P06529
P06779	CLS000391	P06779
P07252	CLS000392	P07252
P07856	CLS000393	P07856
P07916	CLS000394	P07916
P08098	CLS000395	P08098
P08399	CLS000396	P08399
P08468	CLS000397	P08468
P08796	CLS000398	P08796
P08798	CLS000399	P08798
P09333	CLS000400	P09333
P0A5D8	CLS000401	P9WKN0
P9WKN0	CLS000401	P9WKN0
P9WKN1	CLS000401	P9WKN0
P0C8L8	CLS000402	P0C8L8
P0C945	CLS000403	P0C945
P0CB21	CLS000404	P0CB21
P0CB23	CLS000405	P0CB23
P0CD64	CLS000406	P0CD64
P0CG12	CLS000407	P0CG12
B2RYL1	CLS000408	B2RYL1
P0CG10	CLS000408	B2RYL1
P0CG14	CLS000408	B2RYL1
P0CQ04	CLS000409	P0CQ04
P0CQ05	CLS000409	P0CQ04
P0CS56	CLS000410	P0CS57
P0CS57	CLS000410	P0CS57
P0CT47	CLS000411	P0CT47
P0CV01	CLS000412	P0CV01
P0CV36	CLS000413	P0CV36
P0CV42	CLS000414	P0CV42
P0CV43	CLS000414	P0CV42
P0CV45	CLS000415	P0CV45
P0CV57	CLS000416	P0CV57
P0CV58	CLS000417	P0CV58
P0CY38	CLS000418	P0CY38
P0DJ28	CLS000419	P0DJ29
P0DJ29	CLS000419	P0DJ29
P0DKC0	CLS000420	P0DKC1
P0DKC1	CLS000420	P0DKC1
P0DKL2	CLS000421	P0DKL2
P0DOC6	CLS000422	P0DOC6
P0DPB7	CLS000423	P0DPB7
P0DPB8	CLS000424	P0DPB8
P0DPS1	CLS000425	P0DPS1
P11437	CLS000426	P11437
P11929	CLS000427	P11929
P12304	CLS000428	P12304
P13463	CLS000429	P13463
P13816	CLS000430	P13816
P13983	CLS000431	P13983
P13989	CLS000432	P13989
P14198	CLS000433	P14198
P14380	CLS000434	P14380
P14932	CLS000435	P14932
P15305	CLS000436	P15305
P15345	CLS000437	P15345
P15362	CLS000438	P15362
P15391	CLS000439	P15391
Q3LRP3	CLS000439	P15391
P15489	CLS000440	P15489
P15502	CLS000441	P15502
P15711	CLS000442	P15711
P16128	CLS000443	P16128
P16320	CLS000444	P16320
P17813	CLS000445	P17813
P11872	CLS000446	P18154
P18154	CLS000446	P18154
P18593	CLS000447	P18593
P19467	CLS000448	P19467
P19471	CLS000449	P19471
P20048	CLS000450	P20048
O15240	CLS000451	Q0VGU4
P20156	CLS000451	Q0VGU4
Q0VGU4	CLS000451	Q0VGU4
P20398	CLS000452	P20398
P20676	CLS000453	P20676
P20736	CLS000454	P20736
P20910	CLS000455	P20910
P21134	CLS000456	P21134
P21268	CLS000457	P21268
P22293	CLS000458	P22293
P22751	CLS000459	P22751
P22795	CLS000460	P22795
P23182	CLS000461	P23182
P23226	CLS000462	P23226
P23351	CLS000463	P23351
P23643	CLS000464	P23643
P22620	CLS000465	P23745
P23745	CLS000465	P23745
Q8I5D2	CLS000465	P23745
P23792	CLS000466	P23792
P24349	CLS000467	P24349
P24856	CLS000468	P24856
P25028	CLS000469	P25028
P25203	CLS000470	P25203
P25579	CLS000471	P25579
P25918	CLS000472	P25918
P27766	CLS000473	P27766
P31111	CLS000474	P31111
P31569	CLS000475	P31569
P31877	CLS000476	P31877
P31916	CLS000477	P31916
P23502	CLS000478	P32022
P32022	CLS000478	P32022
P32323	CLS000479	P32323
P32334	CLS000480	P32334
P32389	CLS000481	P32389
P32432	CLS000482	P32432
P32448	CLS000483	P32448
P32522	CLS000484	P32522
P32618	CLS000485	P32618
P32767	CLS000486	P32767
P32828	CLS000487	P32828
P32985	CLS000488	P32985
P33304	CLS000489	P33304
P33306	CLS000490	P33306
P34090	CLS000491	P34090
P34116	CLS000492	P34116
P34250	CLS000493	P34250
P34266	CLS000494	P34266
P34278	CLS000495	P34278
P34304	CLS000496	P34304
P34333	CLS000497	P34333
P34427	CLS000498	P34427
P34431	CLS000499	P34431
P34450	CLS000500	P34450
P34478	CLS000501	P34478
P34487	CLS000502	P34487
P34542	CLS000503	P34542
P34595	CLS000504	P34595
P34601	CLS000505	P34601
P34619	CLS000506	P34619
P34651	CLS000507	P34651
P34706	CLS000508	P34706
P34709	CLS000509	P34709
P34758	CLS000510	P34758
P35649	CLS000511	P35649
