cluster_id	member
CLS000493	P34250
CLS000494	P34266
CLS000495	P34278
CLS000496	P34304
CLS000497	P34333
CLS000498	P34427
CLS000499	P34431
CLS000500	P34450
CLS000501	P34478
CLS000502	P34487
CLS000503	P34542
CLS000504	P34595
CLS000505	P34601
CLS000506	P34619
CLS000507	P34651
CLS000508	P34706
CLS000509	P34709
CLS000510	P34758
CLS000511	P35649
CLS000512	P35827
CLS000513	P36084
CLS000514	P36085
CLS000515	P36111
CLS000516	P36148
CLS000517	P36417
CLS000518	P36495
CLS000519	P38213
CLS000520	P38222
CLS000521	A6ZKY8
CLS000521	P38228
CLS000522	P38229
CLS000523	P38277
CLS000524	P38280
CLS000525	P38285
CLS000526	P38299
CLS000527	P38308
CLS000528	P38321
CLS000529	P38330
CLS000529	Q6FML6
CLS000530	P38335
CLS000531	P38338
CLS000532	P38586
CLS000533	P38731
CLS000533	P39980
CLS000534	P38732
CLS000535	P38739
CLS000536	P38775
CLS000537	P38818
CLS000538	P38835
CLS000539	P38871
CLS000540	P38882
CLS000541	P38900
CLS000542	P38966
CLS000543	P39011
CLS000544	P39336
CLS000545	P39391
CLS000546	P39393
CLS000547	P39523
CLS000548	P39690
CLS000549	P39705
CLS000550	P39717
CLS000551	P39732
CLS000552	P39991
CLS000553	P40020
CLS000554	A6ZQY2
CLS000554	P40021
CLS000555	P40077
CLS000556	P40095
CLS000557	P40357
CLS000557	Q6FY22
CLS000558	P40368
CLS000559	P40489
CLS000560	P40497
CLS000561	P40523
CLS000562	P40534
CLS000563	P40547
CLS000564	P40688
CLS000565	P40954
CLS000566	P40960
CLS000567	P41046
CLS000568	P41395
CLS000569	P41698
CLS000570	P41809
CLS000571	P41954
CLS000572	P41993
CLS000573	P42073
CLS000574	P42173
CLS000575	P42286
CLS000575	Q6V3W0
CLS000576	P42835
CLS000577	P43243
CLS000577	P43244
CLS000577	Q8K310
CLS000578	P43579
CLS000579	P43597
CLS000580	P43606
CLS000581	P43611
CLS000582	P43638
CLS000583	P44242
CLS000584	P45970
CLS000585	P45972
CLS000586	P46064
CLS000587	P46589
CLS000588	P46676
CLS000589	P46679
CLS000590	P46945
CLS000591	P46949
CLS000592	A6ZUK8
CLS000592	P46951
CLS000593	A6ZQF3
CLS000593	P46987
CLS000594	P47046
CLS000595	P47050
CLS000596	P47069
CLS000597	P47084
CLS000598	A6ZPZ1
CLS000598	P47101
CLS000599	P47107
CLS000600	P47113
CLS000601	P47171
CLS000602	P47460
CLS000603	P47483
CLS000603	P75441
CLS000604	P47484
CLS000604	P75440
CLS000605	P47533
CLS000606	P47653
CLS000607	P47655
CLS000608	P47661
CLS000609	P50089
CLS000610	P50109
CLS000611	P50938
CLS000612	P51234
CLS000613	P52138
CLS000614	A6ZTU2
CLS000614	P53061
CLS000615	P53189
CLS000616	P53226
CLS000617	P53248
CLS000618	P53253
CLS000619	P53278
CLS000620	P53280
CLS000621	P53628
CLS000622	P53735
CLS000623	A6ZRG6
CLS000623	P53835
CLS000624	P53858
CLS000625	P53870
CLS000626	A6ZRQ9
CLS000626	B3LP27
CLS000626	B5VQN1
CLS000626	C7GTF0
CLS000626	C8ZG52
CLS000626	E7KH03
CLS000626	E7QJS8
CLS000626	P53882
CLS000627	P53886
CLS000628	P53907
CLS000629	P53963
CLS000629	P53976
CLS000630	P54341
CLS000631	P54360
CLS000632	P54682
CLS000633	P54704
CLS000634	P55382
CLS000635	P55385
CLS000636	P55492
CLS000637	P55517
CLS000638	P55524
CLS000639	P55558
CLS000640	P55583
CLS000641	P55687
CLS000642	P55801
CLS000643	P55802
CLS000644	P56370
CLS000645	P13126
CLS000645	P56867
CLS000646	P57189
CLS000647	P57678
CLS000648	P57679
CLS000649	P57680
CLS000650	P58145
CLS000651	P59222
CLS000651	Q96GP6
CLS000652	P61430
CLS000652	Q9LME2
CLS000653	D3YZV8
CLS000653	P62521
CLS000653	Q9H0W5
CLS000654	P64954
CLS000654	P9WLI2
CLS000654	P9WLI3
CLS000655	P70486
CLS000656	P75175
CLS000657	P75183
CLS000658	P75310
CLS000659	P75369
CLS000660	P75405
CLS000661	P75422
CLS000662	P75443
CLS000663	P75471
CLS000664	P76361
CLS000665	P78395
CLS000666	P78953
CLS000667	P25578
CLS000667	P79001
CLS000668	P81182
CLS000669	P81701
CLS000670	P83474
CLS000671	P84996
CLS000672	P86732
CLS000673	P87159
CLS000674	P87200
CLS000675	P87244
CLS000676	P87245
CLS000677	P87315
CLS000678	P91349
CLS000679	P91859
CLS000680	P93203
CLS000680	Q9M7J4
CLS000681	P96644
CLS000682	P97399
CLS000683	P9WJC0
CLS000683	P9WJC1
CLS000684	Q00042
CLS000685	Q00312
CLS000685	Q5ABZ2
CLS000686	Q00925
CLS000687	Q01113
CLS000688	Q01456
CLS000689	Q01722
CLS000690	Q01962
CLS000691	Q02308
CLS000692	Q02335
CLS000693	Q02910
CLS000694	Q03124
CLS000695	Q03361
CLS000696	Q03465
CLS000697	Q03569
CLS000697	Q95QJ7
CLS000698	Q03631
CLS000699	Q03661
CLS000700	Q03714
CLS000701	Q03722
CLS000702	Q03780
CLS000703	Q03792
CLS000704	Q03823
CLS000705	A6ZMM2
CLS000705	Q03824
CLS000706	Q03862
CLS000706	Q6FL44
CLS000707	Q03899
CLS000708	Q04007
CLS000709	Q04233
CLS000710	Q04279
CLS000711	Q04433
CLS000712	Q04748
CLS000713	Q04847
CLS000714	Q04893
CLS000715	Q04974
CLS000716	Q05670
CLS000717	Q05812
CLS000718	Q05934
CLS000719	Q05AL1
CLS000719	Q9DBR3
CLS000720	Q06150
CLS000721	Q06211
CLS000722	Q06339
CLS000723	Q06479
CLS000724	Q06604
CLS000725	Q06820
CLS000726	Q06FN2
CLS000727	Q06J46
CLS000728	Q07653
CLS000729	Q07834
CLS000730	Q08014
CLS000731	Q08118
CLS000732	Q08119
CLS000733	Q08206
CLS000734	P55937
CLS000734	Q08378
CLS000735	Q08471
CLS000736	A6ZP80
CLS000736	B3LJR0
CLS000736	B5VSC3
CLS000736	C8ZGZ3
CLS000736	E7KIA3
CLS000736	E7KUJ4
CLS000736	E7NMM0
CLS000736	E7QKX4
CLS000736	Q08645
CLS000737	Q08675
CLS000738	Q08696
CLS000739	Q08818
CLS000740	Q08886
CLS000741	Q08887
CLS000742	Q08912
CLS000743	Q08949
CLS000744	Q08961
CLS000745	P03874
CLS000745	Q08996
CLS000746	Q08AA9
CLS000747	Q08B20
CLS000748	Q08BT5
CLS000748	Q148V7
CLS000748	Q6P6Y1
CLS000748	Q9P260
CLS000749	Q08C99
CLS000750	Q08CF3
CLS000751	A4IFB6
CLS000751	Q08CL8
CLS000751	Q4R350
CLS000751	Q5XIA4
CLS000751	Q5ZIW2
CLS000751	Q6DE97
CLS000751	Q6NU53
CLS000751	Q8BH15
CLS000751	Q9H9A5
CLS000752	Q09231
CLS000753	Q09259
CLS000754	Q09279
CLS000755	Q09281
CLS000756	Q09288
CLS000757	A8X7Z3
CLS000757	Q09313
CLS000758	Q09314
CLS000759	Q09346
CLS000760	Q09509
CLS000761	Q09550
CLS000762	Q09560
CLS000763	Q09609
CLS000764	Q09950
CLS000765	Q0CF67
CLS000766	Q0DY81
CLS000767	Q0IEK6
CLS000768	Q0JJ05
CLS000769	Q0P3P6
CLS000770	Q0VAV2
CLS000771	Q0VBY1
CLS000771	Q9D478
CLS000771	Q9ULJ1
CLS000772	Q0VD83
CLS000773	Q0VFN8
CLS000774	Q0VG85
CLS000775	Q0WPK4
CLS000776	Q0WQ57
CLS000776	Q9SU08
CLS000777	Q10030
CLS000778	Q10136
CLS000779	Q10302
CLS000780	Q10303
CLS000781	Q10310
CLS000782	Q10340
CLS000783	Q10411
CLS000784	Q10432
CLS000785	Q10444
CLS000786	D3YWE6
CLS000786	Q10571
CLS000787	Q10573
CLS000787	Q9GNN7
CLS000788	Q10665
CLS000789	Q10668
CLS000790	Q10951
CLS000791	A8X811
CLS000791	Q10953
CLS000792	Q11103
CLS000793	Q11107
CLS000794	Q11114
CLS000795	Q11178
CLS000796	Q11194
CLS000797	Q12027
CLS000798	Q12050
CLS000799	Q12071
CLS000800	Q12072
CLS000801	Q12202
CLS000802	Q03016
CLS000802	Q12276
CLS000803	Q12301
CLS000804	Q12348
CLS000805	Q12411
CLS000806	Q12433
CLS000807	Q12453
CLS000808	Q12734
CLS000809	Q12748
CLS000810	P0C6A2
CLS000810	Q13495
CLS000811	Q13SL2
CLS000812	Q14264
CLS000813	Q14392
CLS000814	Q14515
CLS000815	Q14563
CLS000815	Q63548
CLS000815	Q9W7J1
CLS000816	Q14766
CLS000817	Q148V8
CLS000818	Q149B8
CLS000819	Q14AT5
CLS000819	Q6IFT6
CLS000820	Q14DK4
CLS000821	Q14FB0
CLS000821	Q19V60
CLS000821	Q2PMM9
CLS000821	Q2QD43
CLS000821	Q31849
CLS000821	Q32007
CLS000821	Q32126
CLS000821	Q32238
CLS000821	Q32880
CLS000821	Q32RH9
CLS000821	Q3V4Y7
CLS000821	Q49KV1
CLS000821	Q4UK27
CLS000821	Q55429
CLS000821	Q5SCZ9
CLS000821	Q68RV9
CLS000821	Q68VV7
CLS000821	Q6YXQ6
CLS000821	Q70XW6
CLS000821	Q7YJT6
CLS000821	Q8M9U5
CLS000821	Q92G97
CLS000821	Q9BBP6
CLS000821	Q9JX92
CLS000821	Q9M3J4
CLS000821	Q9MUK8
CLS000821	Q9TL56
CLS000821	Q9TLA3
CLS000821	Q9TLC2
CLS000822	Q14GR4
CLS000822	Q2A2B1
CLS000822	Q47VY2
CLS000823	Q14HS5
CLS000823	Q2A2U4
CLS000823	Q5NGC3
CLS000824	Q15025
CLS000825	Q15517
CLS000825	Q5TM45
CLS000825	Q7TPC1
CLS000825	Q7YR44
CLS000826	Q15554
